,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MARCH 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
89,KOTAK MAHINDRA BANK LTD,5867626,454431.00,2957981,475969.00
90,KURMANCHAL NAGAR SAHAKARI BANK,10158,857.75,11366,1019.76
91,Kerala Gramin Bank,79663,7403.67,365951,6999.87
92,LAKSHMI VILAS BANK LTD,335100,27051.58,317943,29450.60
93,MAHANAGAR COOP BANK LTD,14494,1250.07,34031,1735.65
94,MAHARASHTRA GRAMIN BANK,83812,4456.85,68992,4675.23
95,MAHARASHTRA STATE CO-OP BANK LTD,4113,523.78,10408,6338.84
96,MASHREQ BANK,379,380.93,53,9.81
97,MEHSANA URBAN COOPERATIVE BANK LTD,23315,3275.08,34876,3934.96
98,MIZUHO CORPORATE BANK LTD,16535,9478.58,3961,8176.85
99,MUMBAI DISTRICT CENTRAL CO-OP. BANK,13780,529.46,20724,1505.09
100,MUNICIPAL COOP BANK LTD,2435,507.56,5437,826.75
101,NAGAR URBAN COOP BANK LTD,11202,1170.41,11191,1137.01
102,NAGPUR NAGRIK SAHAKARI BANK LTD,9838,792.33,14319,1277.63
103,NAINITAL BANK LTD,32782,2954.07,64456,5239.26
104,NATIONAL AUSTRALIA BANK,1,0.00,20,37.74
105,NATIONAL BANK OF ABU DHABI PJSC,36,53.41,4,0.01
106,NEW INDIA CO-OP BANK,14084,871.70,33347,1385.79
107,NKGSB BANK,30124,3594.57,69482,3378.78
108,NUTAN NAGARIK SAHAKARI BANK LTD,10976,863.02,27807,1566.78
109,ORIENTAL BANK OF COMMERCE,1173221,131577.00,2316134,189788.00
110,PRATHAMA BANK,59351,5790.91,132314,4372.22
111,PRIME CO-OP BANK LTD. SURAT,12271,890.25,13427,645.54
