,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - SEPTEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,87,KURMANCHAL NAGAR SAHAKARI BANK,6367,497.00,5566,458.98
,88,Kerala Gramin Bank,65020,1587.58,136558,2134.88
,89,LAKSHMI VILAS BANK LTD,168222,10647.79,189008,12990.44
,90,MAHANAGAR COOP BANK LTD,6037,600.56,19513,1135.36
,91,MAHARASHTRA GRAMIN BANK,8983,673.69,231,10.43
,92,MAHARASHTRA STATE CO-OP BANK LTD,2311,310.20,6177,1613.15
,93,MASHREQ BANK,382,273.02,64,105.54
,94,MEHSANA URBAN COOPERATIVE BANK LTD,18942,1625.71,16825,1474.48
,95,MIZUHO CORPORATE BANK LTD,13067,5272.53,3409,6663.95
,96,MUMBAI DISTRICT CENTRAL CO-OP. BANK,10795,406.98,11158,997.80
,97,MUNICIPAL COOP BANK LTD,761,37.07,3028,567.61
,98,NAGAR URBAN COOP BANK LTD,5239,508.92,4509,307.39
,99,NAGPUR NAGRIK SAHAKARI BANK LTD,4778,376.72,6582,939.46
,100,NAINITAL BANK LTD,17351,1416.07,38349,2455.10
,101,NATIONAL AUSTRALIA BANK,0,0.00,16,0.12
,102,NATIONAL BANK OF ABU DHABI PJSC,50,23.36,5,0.23
,103,NEW INDIA CO-OP BANK,8719,652.15,19277,1136.60
,104,NKGSB BANK,20307,1781.23,42401,2419.24
,105,NUTAN NAGARIK SAHAKARI BANK LTD,5973,455.29,18060,1159.85
,106,ORIENTAL BANK OF COMMERCE,657924,89294.08,1502577,107020.63
,107,PRATHAMA BANK,14644,3610.40,77335,2193.62
,108,PRIME CO-OP BANK LTD. SURAT,6507,401.15,6303,295.53
,109,PUNJAB AND MAHARASHTRA CO BANK,27723,2881.80,90108,5004.02
,110,PUNJAB AND SIND BANK,116532,9189.12,320061,16098.31
,111,PUNJAB NATIONAL BANK,2269345,187220.49,6344885,343947.90
,112,Pragathi Krishna Gramin Bank,109350,3892.48,222974,3353.46
,113,RABOBANK INTERNATIONAL,1337,994.10,376,1685.46
,114,RAJGURUNAGAR SAHAKARI BANK LTD,3374,222.50,4090,213.06
,115,RAJKOT NAGARIK SAHAKARI BANK LTD,5068,566.09,11543,529.48
,116,"RBI,PAD",7675813,853973.29,28619,78127.12
,117,RBL BANK LTD,486334,27708.35,142673,43024.00
