,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JUNE 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,88,MAHANAGAR COOP BANK LTD,6946,620.63,18276,1073.01
,89,MAHARASHTRA STATE CO-OP BANK LTD,2403,97.81,5590,1171.55
,90,MASHREQ BANK,418,130.64,42,5.11
,91,MEHSANA URBAN COOPERATIVE BANK LTD,15035,1846.23,13329,1332.99
,92,MIZUHO CORPORATE BANK LTD,11629,4969.10,2914,7321.74
,93,MUMBAI DISTRICT CENTRAL CO-OP. BANK,5796,199.18,8920,866.48
,94,MUNICIPAL COOP BANK LTD,655,1272.79,2870,532.33
,95,NAGAR URBAN COOP BANK LTD,5337,582.14,2958,301.76
,96,NAGPUR NAGRIK SAHAKARI BANK LTD,4930,399.20,6621,575.02
,97,NAINITAL BANK LTD,16933,1785.74,33373,2714.15
,98,NATIONAL AUSTRALIA BANK,4,0.05,4,0.23
,99,NATIONAL BANK OF ABU DHABI PJSC,47,10.54,1,0.02
,100,NEW INDIA CO-OP BANK,6443,620.70,18749,1020.48
,101,NKGSB BANK,20309,1546.84,40160,2062.15
,102,NUTAN NAGARIK SAHAKARI BANK LTD,5144,484.57,13249,736.35
,103,ORIENTAL BANK OF COMMERCE,665545,80886.61,1470089,94057.76
,104,PRATHAMA BANK,13219,1284.45,65454,2174.11
,105,PRIME CO-OP BANK LTD. SURAT,6088,408.44,4934,249.61
,106,PUNJAB AND MAHARASHTRA CO BANK,25288,3582.35,83284,4507.33
,107,PUNJAB AND SIND BANK,120536,12691.91,332815,18841.48
,108,PUNJAB NATIONAL BANK,2381991,182785.16,6189361,316730.20
,109,Pragathi Krishna Gramin Bank,266627,8324.40,194888,3072.70
,110,RABOBANK INTERNATIONAL,1015,1883.91,353,2582.22
,111,RAJGURUNAGAR SAHAKARI BANK LTD,3367,212.52,3563,157.24
,112,RAJKOT NAGARIK SAHAKARI BANK LTD,5149,336.53,8632,416.81
,113,"RBI,PAD",5432271,686401.46,14073,41958.87
,114,RBL BANK LTD,342608,31410.16,118392,36297.38
,115,SAMARTH SAHAKARI BANK LTD SOLAPUR,991,56.86,67,68.22
,116,SARASWAT CO-OP BANK LTD.,129937,10957.55,254132,18840.58
,117,SBER BANK,112,273.78,25,78.35
,118,SEVA VIKAS COOPERATIVE BANK LTD,3563,204.26,6463,311.85
,119,SHAMRAO VITHAL CO-OP BANK LTD,76649,5961.87,129142,9214.95
,120,SHIKSHAK SAHAKARI BANK LTD,2123,1306.68,2532,240.40
,121,SHINHAN BANK,11768,3097.46,5604,3577.96
,122,SHIVALIK MERCANTILE CO-OP BANK,2582,177.05,463,21.31
,123,SHRI CHHATRAPATI SHAHU URBAN COOP B,3367,199.60,1366,189.63
,124,SOCIETE GENERALE,2741,3394.98,409,5210.89
,125,SOLAPUR JANATA SAHAKARI BANK LTD,3169,1023.82,8455,235.22
,126,SOUTH INDIAN BANK,319803,28239.16,465360,28853.64
,127,STANDARD CHARTERED BANK,2578073,280460.84,893319,223107.16
,128,STATE BANK OF BIKANER AND JAIPUR,5108506,52845.30,1677078,43877.48
,129,STATE BANK OF HYDERABAD,3184388,84335.22,1736855,97935.43
,130,STATE BANK OF INDIA,17158158,1191138.92,22938412,1494038.19
,131,STATE BANK OF MAURITIUS,630,184.08,445,176.97
,132,STATE BANK OF MYSORE,487253,29538.35,892044,37508.06
,133,STATE BANK OF PATIALA,623675,64934.52,593556,38338.81
