,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - OCTOBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,87,KOTAK MAHINDRA BANK LTD,3601508,293088.76,1875331,258049.60
,88,KURMANCHAL NAGAR SAHAKARI BANK,6386,553.81,6178,498.84
,89,Kerala Gramin Bank,41231,1709.89,80718,2206.67
,90,LAKSHMI VILAS BANK LTD,159334,11807.96,197355,14655.20
,91,MAHANAGAR COOP BANK LTD,6864,659.42,27129,1313.30
,92,MAHARASHTRA GRAMIN BANK,32002,1988.76,2198,200.08
,93,MAHARASHTRA STATE CO-OP BANK LTD,3020,456.63,7037,2418.88
,94,MASHREQ BANK,304,184.29,34,4.41
,95,MEHSANA URBAN COOPERATIVE BANK LTD,19644,1222.14,21284,1874.89
,96,MIZUHO CORPORATE BANK LTD,13732,4105.80,3067,9520.16
,97,MUMBAI DISTRICT CENTRAL CO-OP. BANK,13437,584.46,13922,1416.10
,98,MUNICIPAL COOP BANK LTD,985,35.47,3255,675.06
,99,NAGAR URBAN COOP BANK LTD,5827,590.50,5995,346.14
,100,NAGPUR NAGRIK SAHAKARI BANK LTD,5392,411.64,7598,1776.62
,101,NAINITAL BANK LTD,19180,1506.54,40648,2295.77
,102,NATIONAL AUSTRALIA BANK,3,0.03,15,0.38
,103,NATIONAL BANK OF ABU DHABI PJSC,56,32.55,4,4.00
,104,NEW INDIA CO-OP BANK,7864,888.23,21522,968.99
,105,NKGSB BANK,24518,1865.86,49697,2591.52
,106,NUTAN NAGARIK SAHAKARI BANK LTD,7283,534.55,22005,1122.78
,107,ORIENTAL BANK OF COMMERCE,725713,75689.43,1724854,125612.47
,108,PRATHAMA BANK,14601,5188.63,94864,4178.16
,109,PRIME CO-OP BANK LTD. SURAT,6859,597.06,7255,389.75
,110,PUNJAB AND MAHARASHTRA CO BANK,31158,3694.39,107340,4674.52
,111,PUNJAB AND SIND BANK,124864,10633.10,380867,21706.36
,112,PUNJAB NATIONAL BANK,2834692,203628.75,8008132,330659.12
,113,Pragathi Krishna Gramin Bank,50777,4111.38,208389,2412.57
,114,RABOBANK INTERNATIONAL,2070,1570.22,336,2730.62
,115,RAJGURUNAGAR SAHAKARI BANK LTD,3780,268.28,5214,272.81
,116,RAJKOT NAGARIK SAHAKARI BANK LTD,5555,397.65,13944,572.38
,117,"RBI,PAD",6732923,575360.44,28502,89454.88
,118,RBL BANK LTD,440377,33497.41,159744,41104.12
,119,SAMARTH SAHAKARI BANK LTD SOLAPUR,1122,74.00,253,20.22
,120,SARASWAT CO-OP BANK LTD.,157149,12589.01,327680,21680.70
,121,SBER BANK,95,85.73,24,141.43
,122,SEVA VIKAS COOPERATIVE BANK LTD,4140,236.83,8659,769.36
,123,SHAMRAO VITHAL CO-OP BANK LTD,92388,7432.48,164675,10571.85
,124,SHIKSHAK SAHAKARI BANK LTD,2266,1091.97,3296,238.71
,125,SHINHAN BANK,15284,3305.47,5724,4098.42
,126,SHIVALIK MERCANTILE CO-OP BANK,2985,245.08,1535,142.89
,127,SHRI CHHATRAPATI SHAHU URBAN COOP B,3847,208.60,1755,227.38
,128,SOCIETE GENERALE,5434,4583.75,450,1540.09
,129,SOLAPUR JANATA SAHAKARI BANK LTD,4602,581.57,15672,372.68
,130,SOUTH INDIAN BANK,329446,26606.58,482471,28419.94
,131,STANDARD CHARTERED BANK,2868048,337560.46,950472,227333.15
,132,STATE BANK OF BIKANER AND JAIPUR,4919239,54647.41,1683036,48394.03
,133,STATE BANK OF HYDERABAD,2421391,86403.02,1551230,77890.22
,134,STATE BANK OF INDIA,21491713,1336845.09,25573717,1464757.94
,135,STATE BANK OF MAURITIUS,699,737.67,410,135.72
,136,STATE BANK OF MYSORE,408004,29953.85,960820,44605.59
,137,STATE BANK OF PATIALA,708465,40755.59,704288,40681.41
,138,STATE BANK OF TRAVANCORE,659189,42472.75,1523949,54877.02
,139,SUMITOMO MITSUI BANKING CORPORATION,4574,4754.65,484,3869.99
,140,SURAT DISTRICT COOPERATIVE BANK Ltd,3686,416.51,9153,609.10
,141,SURAT NATIONAL CO-OP BANK LTD,2100,321.38,2351,182.26
,142,SURAT PEOPLES COOPERATIVE BANK,7399,727.40,25350,1211.15
,143,SUTEX COOP BANK,3427,231.69,8598,509.01
,144,SYNDICATE BANK,808976,119492.41,2221786,104143.63
,145,TAMIL NADU STATE APEX COOP BANK,49683,1719.61,26845,1350.49
,146,TAMILNADU MERCANTILE BANK,238022,20540.32,336827,22610.16
,147,THANE BHARAT SAHAKARI BANK LTD,3548,1246.64,11181,817.49
,148,THANE DISTRICT CENTRAL COOP BANK LT,8039,2319.28,34156,870.52
,149,THANE JANATA SAHAKARI BANK LTD,44642,3681.63,95241,5821.87
,150,THE A. P. MAHESH URBAN CO-OP BANK L,6910,1375.80,11088,834.91
,151,THE AP STATE COOP BANK LTD,21668,1167.29,35898,2881.72
,152,THE GUJARAT STATE CO-OP BANK LTD,21118,1880.09,46847,4608.97
,153,THE HASTI CO-OP. BANK LTD.,1930,117.13,738,51.04
,154,THE KANGRA CENTRAL COOP BANK LTD,19555,749.63,27303,1197.96
,155,THE KANGRA CO OPERATIVE BANK LTD,1897,389.49,6602,185.56
,156,THE NASIK MERCHANTS CO-OP BANK LTD.,8857,547.27,10222,868.59
,157,THE PANDHARPUR URBAN CO-OP BANK,1078,75.20,351,105.63
,158,THE RAJASTHAN ST. COOP. BANK LTD,10993,529.96,202793,690.02
,159,THE ROYAL BANK OF SCOTLAND N.V,5592,1262.43,4516,546.69
,160,THE SAHEBRAO DESHMUKH COOP BANK LTD,2451,202.61,5699,308.23
,161,THE VARACHHA CO-OP. BANK LTD,5742,1484.75,19930,1010.60
,162,THE VISHWESHWAR SAHAKARI BANK LTD,5740,601.38,10267,662.33
,163,THE ZOROASTRIAN CO-OP BANK LTD,2567,188.01,3659,554.06
,164,TUMKUR GRAIN MERCHANTS COOP BANK,2594,147.80,1968,216.27
,165,The Gadchiroli Dist Co-Op Bank,3366,73.32,17822,379.68
,166,UCO BANK,552563,45560.88,1981615,68510.02
,167,UNION BANK OF INDIA,1763287,153490.72,3909405,219585.33
,168,UNITED BANK OF INDIA,745432,38570.33,2095903,55627.45
,169,UNITED OVERSEAS BANK LTD,98,59.90,94,95.86
,170,VASAI VIKAS SAHAKARI BANK LTD,2626,174.99,7753,358.35
,171,VIJAYA BANK,321809,33466.06,1061486,61092.28
,172,WEST BENGAL STATE COOPERATIVE BANK,19349,532.27,135444,3509.45
,173,WESTPAC BANKING CORPORATION,244,29.46,21,2.49
,174,WOORI BANK,1788,658.83,259,754.87
,175,YES BANK,4884816,162819.78,1085375,188471.79
,176,ZILA SAHKARI BANK LTD GHAZIABAD,1046,60.59,9337,132.23
,,TOTAL,133213109,9504502.10,133213109,9504502.10
,,Total (No. of transactions in mn and Amount in bn),133.21,9504.50,133.21,9504.50
