,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - FEB 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
89,KURMANCHAL NAGAR SAHAKARI BANK,8451,666.93,7976,672.54
90,Kerala Gramin Bank,79125,6675.34,186272,7395.26
91,LAKSHMI VILAS BANK LTD,293975,15608.47,283236,20576.25
92,MAHANAGAR COOP BANK LTD,11781,973.93,29810,1450.73
93,MAHARASHTRA GRAMIN BANK,73585,3655.62,56922,3020.5
94,MAHARASHTRA STATE CO-OP BANK LTD,3729,338.01,8017,5462.56
95,MASHREQ BANK,313,116.58,30,101.98
96,MEHSANA URBAN COOPERATIVE BANK LTD,19228,1632,24288,2571.32
97,MIZUHO CORPORATE BANK LTD,12587,10127.19,3087,10095.27
98,MUMBAI DISTRICT CENTRAL CO-OP. BANK,10445,329.59,15554,1192.26
99,MUNICIPAL COOP BANK LTD,3101,177.62,4306,683.53
100,NAGAR URBAN COOP BANK LTD,10468,859.86,9741,856.63
101,NAGPUR NAGRIK SAHAKARI BANK LTD,8118,578.42,10697,739.67
102,NAINITAL BANK LTD,25355,2040.39,42002,3280.27
103,NATIONAL AUSTRALIA BANK,1,0,6,0.77
104,NATIONAL BANK OF ABU DHABI PJSC,49,15.12,2,0
105,NEW INDIA CO-OP BANK,10645,656.93,26309,1525.63
106,NKGSB BANK,23839,2323.9,56492,2841.76
107,NUTAN NAGARIK SAHAKARI BANK LTD,8292,579.26,20505,1255.33
108,ORIENTAL BANK OF COMMERCE,1031172,128437.04,1879389,112738.78
109,PRATHAMA BANK,80179,4795.76,115760,4310.91
110,PRIME CO-OP BANK LTD. SURAT,7382,545.37,9702,453.56
111,PUNJAB AND MAHARASHTRA CO BANK,42072,2132.39,137633,3812.67
112,PUNJAB AND SIND BANK,212133,15867.45,465099,25756.7
113,PUNJAB NATIONAL BANK,3517345,268722.26,7861460,395669.43
114,Pragathi Krishna Gramin Bank,89352,10331.44,181172,8219.05
115,RABOBANK INTERNATIONAL,1293,1952.39,446,2277.5
116,RAJGURUNAGAR SAHAKARI BANK LTD,6912,377.26,10099,506.93
117,RAJKOT NAGARIK SAHAKARI BANK LTD,7794,531.79,16012,667.14
118,"RBI,PAD",6746576,688371.95,71259,39307.3
119,RBL BANK LTD,455125,27714.08,206818,41262.69
120,SAMARTH SAHAKARI BANK LTD SOLAPUR,2576,131.13,1553,98.94
121,SARASWAT CO-OP BANK LTD.,188120,13619.81,365667,24385.47
122,SBER BANK,105,90.14,35,61.72
123,SEVA VIKAS COOPERATIVE BANK LTD,5468,267.25,17882,594.77
124,SHAMRAO VITHAL CO-OP BANK LTD,135624,8716.87,210960,12483.87
125,SHIKSHAK SAHAKARI BANK LTD,3575,513.98,4596,243.83
126,SHINHAN BANK,13743,4955.9,6967,6659.93
127,SHIVALIK MERCANTILE CO-OP BANK,5355,354.2,3599,163.35
128,SHRI CHHATRAPATI SHAHU URBAN COOP B,9965,534.81,6456,488.36
129,SOCIETE GENERALE,5838,1896.66,393,2473.51
130,SOLAPUR JANATA SAHAKARI BANK LTD,8133,803.45,13602,656.06
131,SOUTH INDIAN BANK,506630,33295.49,688237,35783.93
132,STANDARD CHARTERED BANK,2993273,338451.89,974362,287705.13
133,STATE BANK OF BIKANER AND JAIPUR,4778590,56041.85,1870110,51447.14
134,STATE BANK OF HYDERABAD,2936697,124113.4,2307688,128979.85
135,STATE BANK OF INDIA,19699895,1489488.14,28577414,1554717.22
136,STATE BANK OF MAURITIUS,786,1627.32,566,229.67
137,STATE BANK OF MYSORE,636891,45744.69,1123883,56337.85
138,STATE BANK OF PATIALA,874480,55185.54,815570,77320.41
139,STATE BANK OF TRAVANCORE,946588,44674.13,2180681,77089.8
140,SUMITOMO MITSUI BANKING CORPORATION,4601,1529.9,542,10200.36
141,SURAT DISTRICT COOPERATIVE BANK Ltd,5780,478.88,13700,909.95
142,SURAT NATIONAL CO-OP BANK LTD,2563,206.44,4543,203.78
143,SURAT PEOPLES COOPERATIVE BANK,12575,1039.53,25891,1348.1
144,SUTEX COOP BANK,7186,425.71,10493,594.47
145,SYNDICATE BANK,1224996,130681.45,2607232,129941.31
146,TAMIL NADU STATE APEX COOP BANK,153279,5239.41,57401,3137.3
147,TAMILNADU MERCANTILE BANK,399170,28304.94,499871,28504.51
148,TELANGANA STATE COOP APEX BANK LTD,4329,213.93,2924,357.68
149,THANE BHARAT SAHAKARI BANK LTD,5060,1173.71,14762,756.94
150,THANE DISTRICT CENTRAL COOP BANK LT,15447,1563.1,34215,726.29
151,THANE JANATA SAHAKARI BANK LTD,59336,4025.65,118234,6157.22
152,THE A. P. MAHESH URBAN CO-OP BANK L,15158,2318.94,23087,1309.84
153,THE AP STATE COOP BANK LTD,74904,3986.09,76545,4499.22
154,THE BARAMATI SAHAKARI BANK LTD,4,0.3,0,0
155,THE GUJARAT STATE CO-OP BANK LTD,62199,4151.59,84723,6066.27
156,THE HASTI CO-OP. BANK LTD.,4082,256.06,3022,280.79
157,THE KANGRA CENTRAL COOP BANK LTD,30530,1103.25,38332,1568.39
158,THE KANGRA CO OPERATIVE BANK LTD,3425,1463.19,8711,219.78
159,THE NASIK MERCHANTS CO-OP BANK LTD.,12600,728.69,14646,935.97
160,THE NAVNIRMAN COOPERATIVE BANK LTD,1166,83.75,357,32.24
161,THE PANDHARPUR URBAN CO-OP BANK,3589,266.87,1534,177.3
162,THE RAJASTHAN ST. COOP. BANK LTD,33534,1669.77,198720,2345.48
163,THE ROYAL BANK OF SCOTLAND PLC,2736,334.95,2414,200.4
164,THE SAHEBRAO DESHMUKH COOP BANK LTD,3596,221.79,7645,317.36
165,THE VARACHHA CO-OP. BANK LTD,13255,796.88,28864,817.8
166,THE VISHWESHWAR SAHAKARI BANK LTD,9885,620.42,15281,737.85
167,THE ZOROASTRIAN CO-OP BANK LTD,2927,157.31,3762,374.47
168,TUMKUR GRAIN MERCHANTS COOP BANK,5489,321.91,3988,353.87
169,The Gadchiroli Dist Co-Op Bank,9028,295.05,18586,421.91
170,UCO BANK,627075,48073.5,2163746,72142.26
171,UJJIVAN SMALL FINANCE BANK LTD.,33,0.39,58,1020.15
172,UNION BANK OF INDIA,2097824,162491.45,4295605,258401.06
173,UNITED BANK OF INDIA,943172,42095.58,2208492,58054.69
174,UNITED OVERSEAS BANK LTD,91,15.95,85,98.53
175,VASAI VIKAS SAHAKARI BANK LTD,3441,233.18,9816,386.56
176,VIJAYA BANK,536041,43874.75,1288511,70744.92
177,WEST BENGAL STATE COOPERATIVE BANK,34931,1270.58,123396,3235.2
178,WESTPAC BANKING CORPORATION,261,224.52,32,1150.17
179,WOORI BANK,1293,558.42,360,442.15
180,YES BANK,5926261,263199.54,1267895,233396.07
181,ZILA SAHKARI BANK LTD GHAZIABAD,3616,213.13,4742,154.08
,TOTAL,148205456,10877909.23,148205456,10877909.23
,t,Total (No. of transactions in mn and Amount in bn),148.21,10877.91,148.21,10877.91
