,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - NOVEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,87,KOTAK MAHINDRA BANK LTD,3324746,255930.52,1975134,238371.74
,88,KURMANCHAL NAGAR SAHAKARI BANK,6778,572.53,6343,484.35
,89,Kerala Gramin Bank,61710,3040.72,133462,3937.30
,90,LAKSHMI VILAS BANK LTD,230312,16219.29,219214,18655.37
,91,MAHANAGAR COOP BANK LTD,8977,692.79,20855,1073.18
,92,MAHARASHTRA GRAMIN BANK,42749,2439.39,8376,483.44
,93,MAHARASHTRA STATE CO-OP BANK LTD,2729,143.73,6461,3553.05
,94,MASHREQ BANK,371,91.34,39,102.14
,95,MEHSANA URBAN COOPERATIVE BANK LTD,9510,799.60,17680,1522.47
,96,MIZUHO CORPORATE BANK LTD,11185,7479.31,3247,5120.48
,97,MUMBAI DISTRICT CENTRAL CO-OP. BANK,7566,321.02,13492,1164.06
,98,MUNICIPAL COOP BANK LTD,1349,63.03,3481,605.60
,99,NAGAR URBAN COOP BANK LTD,7994,838.83,4963,426.53
,100,NAGPUR NAGRIK SAHAKARI BANK LTD,5613,440.89,7854,554.91
,101,NAINITAL BANK LTD,19294,2089.79,34763,2114.57
,102,NATIONAL AUSTRALIA BANK,3,0.01,18,0.42
,103,NATIONAL BANK OF ABU DHABI PJSC,62,11.18,1,0.00
,104,NEW INDIA CO-OP BANK,7839,838.62,21608,874.99
,105,NKGSB BANK,27769,1686.58,48282,2305.59
,106,NUTAN NAGARIK SAHAKARI BANK LTD,5525,413.20,17754,801.82
,107,ORIENTAL BANK OF COMMERCE,687645,66531.35,1608496,93952.56
,108,PRATHAMA BANK,40849,4207.06,42477,12271.10
,109,PRIME CO-OP BANK LTD. SURAT,5801,485.66,5366,233.75
,110,PUNJAB AND MAHARASHTRA CO BANK,45065,2263.53,111996,3903.65
,111,PUNJAB AND SIND BANK,145202,12561.48,392064,20263.00
,112,PUNJAB NATIONAL BANK,2382046,177597.02,6793499,301662.50
,113,Pragathi Krishna Gramin Bank,67248,15452.12,308772,8573.64
,114,RABOBANK INTERNATIONAL,1177,817.38,369,1862.98
,115,RAJGURUNAGAR SAHAKARI BANK LTD,5318,293.74,6043,450.87
,116,RAJKOT NAGARIK SAHAKARI BANK LTD,5317,447.41,12302,472.41
,117,"RBI,PAD",5317755,376641.17,22556,123193.22
,118,RBL BANK LTD,334962,25276.77,161072,36630.16
,119,SAMARTH SAHAKARI BANK LTD SOLAPUR,2473,100.25,482,24.86
,120,SARASWAT CO-OP BANK LTD.,157327,13000.84,297318,22523.50
,121,SBER BANK,82,188.52,25,12.62
,122,SEVA VIKAS COOPERATIVE BANK LTD,5061,244.02,10978,448.43
,123,SHAMRAO VITHAL CO-OP BANK LTD,107261,7149.22,158653,10008.96
,124,SHIKSHAK SAHAKARI BANK LTD,2450,2197.86,3267,217.16
,125,SHINHAN BANK,12032,4493.58,7046,4108.47
,126,SHIVALIK MERCANTILE CO-OP BANK,4189,318.38,1982,107.63
,127,SHRI CHHATRAPATI SHAHU URBAN COOP B,5643,289.00,2331,277.56
,128,SOCIETE GENERALE,4989,8381.24,380,2170.59
,129,SOLAPUR JANATA SAHAKARI BANK LTD,5922,807.11,4903,351.57
,130,SOUTH INDIAN BANK,420330,31643.31,569557,30886.86
,131,STANDARD CHARTERED BANK,2583653,289387.86,955442,231813.68
,132,STATE BANK OF BIKANER AND JAIPUR,4493876,56255.21,1567795,41088.30
,133,STATE BANK OF HYDERABAD,2020281,94893.68,1556973,81191.86
,134,STATE BANK OF INDIA,14340240,1142788.09,23393781,1233743.58
,135,STATE BANK OF MAURITIUS,650,208.72,592,274.39
,136,STATE BANK OF MYSORE,476103,48740.04,1255054,44784.43
,137,STATE BANK OF PATIALA,713754,50835.47,670221,40071.36
,138,STATE BANK OF TRAVANCORE,825552,46578.47,1705807,64639.87
,139,SUMITOMO MITSUI BANKING CORPORATION,3952,1830.29,539,2821.45
,140,SURAT DISTRICT COOPERATIVE BANK Ltd,3439,380.29,7127,338.00
,141,SURAT NATIONAL CO-OP BANK LTD,1385,234.36,1569,78.33
,142,SURAT PEOPLES COOPERATIVE BANK,5094,465.21,20716,2860.35
,143,SUTEX COOP BANK,2593,145.23,6076,278.99
,144,SYNDICATE BANK,892724,105195.89,2074906,107453.49
,145,TAMIL NADU STATE APEX COOP BANK,53541,2099.31,42138,2843.61
,146,TAMILNADU MERCANTILE BANK,314716,23220.52,382618,23982.02
,147,THANE BHARAT SAHAKARI BANK LTD,3773,997.43,11401,620.44
,148,THANE DISTRICT CENTRAL COOP BANK LT,7550,1007.03,19627,404.85
,149,THANE JANATA SAHAKARI BANK LTD,45648,3546.20,91410,5326.22
,150,THE A. P. MAHESH URBAN CO-OP BANK L,8408,1106.75,14814,1091.82
,151,THE AP STATE COOP BANK LTD,42118,1972.87,35610,2643.87
,152,THE GUJARAT STATE CO-OP BANK LTD,28262,2290.63,41023,3891.80
,153,THE HASTI CO-OP. BANK LTD.,2354,175.19,977,89.68
,154,THE KANGRA CENTRAL COOP BANK LTD,23293,887.21,26722,1578.89
,155,THE KANGRA CO OPERATIVE BANK LTD,2316,376.98,7421,152.29
,156,THE NASIK MERCHANTS CO-OP BANK LTD.,11917,665.82,9649,521.74
,157,THE PANDHARPUR URBAN CO-OP BANK,2210,118.10,596,33.46
,158,THE RAJASTHAN ST. COOP. BANK LTD,9804,1291.30,193380,992.16
,159,THE ROYAL BANK OF SCOTLAND N.V,3891,530.70,3753,624.13
,160,THE SAHEBRAO DESHMUKH COOP BANK LTD,2625,185.42,5471,215.56
,161,THE VARACHHA CO-OP. BANK LTD,4443,321.50,15742,269.10
,162,THE VISHWESHWAR SAHAKARI BANK LTD,7054,746.54,10646,601.57
,163,THE ZOROASTRIAN CO-OP BANK LTD,2213,122.56,2894,401.51
,164,TUMKUR GRAIN MERCHANTS COOP BANK,4363,211.19,2933,248.03
,165,The Gadchiroli Dist Co-Op Bank,4774,110.67,7705,106.31
,166,UCO BANK,500678,44807.20,1832752,57482.63
,167,UNION BANK OF INDIA,1551172,158639.81,3171071,209239.20
,168,UNITED BANK OF INDIA,620543,36552.55,1729376,51884.50
,169,UNITED OVERSEAS BANK LTD,88,10.66,124,45.67
,170,VASAI VIKAS SAHAKARI BANK LTD,3402,216.21,7558,341.88
,171,VIJAYA BANK,360975,36866.28,1163687,49192.98
,172,WEST BENGAL STATE COOPERATIVE BANK,25837,807.77,90395,3427.81
,173,WESTPAC BANKING CORPORATION,418,54.16,25,51.04
,174,WOORI BANK,1175,784.09,301,423.93
,175,YES BANK,5164465,169763.28,925781,165985.64
,176,ZILA SAHKARI BANK LTD GHAZIABAD,1895,158.54,9548,106.27
,,TOTAL,123046178,8807884.81,123046178,8807884.81
,,Total (No. of transactions in mn and Amount in bn),123.05,8807.88,123.05,8807.88
