,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JULY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT       (Rs. Million)
,88,LAKSHMI VILAS BANK LTD,159357,9802.37,176781,13962.54
,89,MAHANAGAR COOP BANK LTD,6516,620.80,18372,940.64
,90,MAHARASHTRA STATE CO-OP BANK LTD,3940,110.27,5856,2351.10
,91,MASHREQ BANK,363,195.96,36,3.58
,92,MEHSANA URBAN COOPERATIVE BANK LTD,14283,1976.70,15126,1794.34
,93,MIZUHO CORPORATE BANK LTD,12117,3356.40,3129,8695.48
,94,MUMBAI DISTRICT CENTRAL CO-OP. BANK,7642,501.46,10301,1088.46
,95,MUNICIPAL COOP BANK LTD,738,41.43,2951,521.53
,96,NAGAR URBAN COOP BANK LTD,5197,411.09,4863,271.07
,97,NAGPUR NAGRIK SAHAKARI BANK LTD,4780,351.31,6603,499.95
,98,NAINITAL BANK LTD,15834,1135.13,34695,1951.89
,99,NATIONAL AUSTRALIA BANK,2,0.02,2,0.18
,100,NATIONAL BANK OF ABU DHABI PJSC,63,15.36,4,0.52
,101,NEW INDIA CO-OP BANK,8848,659.81,18652,892.14
,102,NKGSB BANK,20982,1491.79,41017,2080.75
,103,NUTAN NAGARIK SAHAKARI BANK LTD,5188,421.87,15680,855.54
,104,ORIENTAL BANK OF COMMERCE,654737,63978.42,1458841,98925.88
,105,PRATHAMA BANK,13981,1516.94,83427,1584.55
,106,PRIME CO-OP BANK LTD. SURAT,5128,342.06,5126,244.11
,107,PUNJAB AND MAHARASHTRA CO BANK,26104,3336.07,86985,3958.11
,108,PUNJAB AND SIND BANK,113718,9118.88,345988,18056.98
,109,PUNJAB NATIONAL BANK,2457347,174485.72,5949817,296419.57
,110,Pragathi Krishna Gramin Bank,147406,6836.89,143428,1881.56
,111,RABOBANK INTERNATIONAL,1167,1085.94,342,1640.35
,112,RAJGURUNAGAR SAHAKARI BANK LTD,3347,186.03,3794,178.76
,113,RAJKOT NAGARIK SAHAKARI BANK LTD,4877,317.39,9889,828.09
