,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MAY 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,88,MAHANAGAR COOP BANK LTD,5884,541.88,17073,888.68
,89,MAHARASHTRA STATE CO-OP BANK LTD,2569,93.51,5272,2125.41
,90,MASHREQ BANK,454,123.78,44,4.27
,91,MEHSANA URBAN COOPERATIVE BANK LTD,14594,1587.74,14034,1251.40
,92,MIZUHO CORPORATE BANK LTD,11327,8259.54,2946,6114.85
,93,MUMBAI DISTRICT CENTRAL CO-OP. BANK,5381,142.86,8876,818.17
,94,MUNICIPAL COOP BANK LTD,528,39.83,2966,534.61
,95,NAGAR URBAN COOP BANK LTD,5075,417.29,2381,314.41
,96,NAGPUR NAGRIK SAHAKARI BANK LTD,4795,453.33,6363,505.34
,97,NAINITAL BANK LTD,16958,1409.35,26518,2291.12
,98,NATIONAL AUSTRALIA BANK,9,0.06,8,0.30
,99,NATIONAL BANK OF ABU DHABI PJSC,56,12.33,3,0.01
,100,NEW INDIA CO-OP BANK,7079,522.75,17517,768.05
,101,NKGSB BANK,19502,1666.37,37698,1924.84
,102,NUTAN NAGARIK SAHAKARI BANK LTD,5132,446.47,15411,793.86
,103,ORIENTAL BANK OF COMMERCE,675338,65097.40,1527518,101671.60
,104,PRATHAMA BANK,13958,1556.18,67510,2127.91
,105,PRIME CO-OP BANK LTD. SURAT,4632,323.40,4629,235.24
,106,PUNJAB AND MAHARASHTRA CO BANK,25955,2080.39,78977,4133.79
,107,PUNJAB AND SIND BANK,114918,11748.04,356875,14896.38
,108,PUNJAB NATIONAL BANK,2489477,169387.60,6306692,295445.15
,109,Pragathi Krishna Gramin Bank,111178,9564.90,223383,3052.25
,110,RABOBANK INTERNATIONAL,1083,1323.07,302,1497.39
,111,RAJGURUNAGAR SAHAKARI BANK LTD,3230,204.92,3443,148.53
,112,RAJKOT NAGARIK SAHAKARI BANK LTD,4691,327.10,8948,531.23
,113,"RBI,PAD",4227142,304097.92,18822,31766.24
,114,RBL BANK LTD,319072,20122.01,111162,30422.68
,115,SAMARTH SAHAKARI BANK LTD SOLAPUR,694,42.67,32,3.66
,116,SARASWAT CO-OP BANK LTD.,119085,10506.53,240340,17237.26
,117,SBER BANK,74,364.14,13,33.04
,118,SEVA VIKAS COOPERATIVE BANK LTD,3571,202.03,6621,708.44
,119,SHAMRAO VITHAL CO-OP BANK LTD,71700,5671.64,123780,8772.48
,120,SHIKSHAK SAHAKARI BANK LTD,1998,1394.67,2445,224.89
,121,SHINHAN BANK,10287,2404.91,5362,2874.92
,122,SHIVALIK MERCANTILE CO-OP BANK,2596,208.86,327,19.25
,123,SHRI CHHATRAPATI SHAHU URBAN COOP B,3294,196.25,1325,144.53
,124,SOCIETE GENERALE,2755,2663.56,358,1553.07
,125,SOLAPUR JANATA SAHAKARI BANK LTD,2861,1113.29,3328,209.03
,126,SOUTH INDIAN BANK,305224,27038.44,469475,27043.65
,127,STANDARD CHARTERED BANK,2540305,265849.97,868568,202989.33
,128,STATE BANK OF BIKANER AND JAIPUR,6997273,55110.46,1923630,42718.14
,129,STATE BANK OF HYDERABAD,4680430,78418.66,1909795,92143.19
,130,STATE BANK OF INDIA,16933262,1100510.09,22719929,1112472.23
,131,STATE BANK OF MAURITIUS,639,92.50,452,199.23
,132,STATE BANK OF MYSORE,416684,29928.58,956488,42197.86
,133,STATE BANK OF PATIALA,1556341,50548.86,688145,44055.30
,134,STATE BANK OF TRAVANCORE,778638,38805.26,1272115,49597.89
,135,SUMITOMO MITSUI BANKING CORPORATION,3237,1732.61,389,1263.78
,136,SURAT DISTRICT COOPERATIVE BANK Ltd,3232,301.41,7176,458.48
,137,SURAT NATIONAL CO-OP BANK LTD,1225,119.77,1077,77.75
,138,SURAT PEOPLES COOPERATIVE BANK,5274,418.14,15183,1077.40
