,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JAN 2017,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,86,KARUR VYSYA BANK,1029763,62209.08,1240633,69650.71
,87,KOREA EXCHANGE BANK,162,463.38,317,480.06
,88,KOTAK MAHINDRA BANK LTD,5052061,315992.99,2487567,304171.63
,89,KURMANCHAL NAGAR SAHAKARI BANK,9702,699.74,8751,594.35
,90,Kerala Gramin Bank,102420,5212.76,216088,7021.06
,91,LAKSHMI VILAS BANK LTD,404869,21528.84,333329,22504.78
,92,MAHANAGAR COOP BANK LTD,15392,1073.80,32205,1443.77
,93,MAHARASHTRA GRAMIN BANK,102248,4706.98,62817,2811.20
,94,MAHARASHTRA STATE CO-OP BANK LTD,4059,377.62,7986,4800.91
,95,MASHREQ BANK,324,384.41,48,180.71
,96,MEHSANA URBAN COOPERATIVE BANK LTD,23009,1767.46,25074,2348.64
,97,MIZUHO CORPORATE BANK LTD,11830,3368.95,3022,14776.06
,98,MUMBAI DISTRICT CENTRAL CO-OP. BANK,13352,424.63,16311,1157.53
,99,MUNICIPAL COOP BANK LTD,3884,225.84,4953,778.98
,100,NAGAR URBAN COOP BANK LTD,12874,901.75,12993,970.65
,101,NAGPUR NAGRIK SAHAKARI BANK LTD,9212,612.55,11365,764.22
,102,NAINITAL BANK LTD,31740,2623.67,47180,3091.86
,103,NATIONAL AUSTRALIA BANK,2,0.00,13,0.05
,104,NATIONAL BANK OF ABU DHABI PJSC,12,0.71,3,0.00
,105,NEW INDIA CO-OP BANK,10498,636.26,27677,1558.08
,106,NKGSB BANK,30931,2091.77,62375,2788.23
,107,NUTAN NAGARIK SAHAKARI BANK LTD,8883,487.81,19259,997.60
,108,ORIENTAL BANK OF COMMERCE,1182127,121661.78,2068373,129995.56
,109,PRATHAMA BANK,111636,4886.88,131703,3406.68
,110,PRIME CO-OP BANK LTD. SURAT,8773,609.36,10135,495.02
,111,PUNJAB AND MAHARASHTRA CO BANK,51336,2330.81,149874,4331.36
,112,PUNJAB AND SIND BANK,278417,17682.06,511576,28596.70
,113,PUNJAB NATIONAL BANK,4199554,268191.90,8691337,432234.74
,114,Pragathi Krishna Gramin Bank,113302,13128.45,307039,9420.81
,115,RABOBANK INTERNATIONAL,1472,1333.47,420,2781.05
,116,RAJGURUNAGAR SAHAKARI BANK LTD,8462,442.55,12380,466.18
,117,RAJKOT NAGARIK SAHAKARI BANK LTD,8672,527.44,16274,719.87
,118,"RBI,PAD",6214299,639567.77,49378,51125.76
,119,RBL BANK LTD,453346,31875.00,220385,36530.12
,120,SAMARTH SAHAKARI BANK LTD SOLAPUR,3433,152.03,1836,114.14
,121,SARASWAT CO-OP BANK LTD.,214749,14033.10,391438,25058.99
,122,SBER BANK,81,30.42,31,11.12
,123,SEVA VIKAS COOPERATIVE BANK LTD,6635,320.12,22076,711.60
,124,SHAMRAO VITHAL CO-OP BANK LTD,167790,9678.73,235970,13565.99
,125,SHIKSHAK SAHAKARI BANK LTD,3679,799.53,4845,287.19
,126,SHINHAN BANK,15735,4821.48,7470,6935.32
,127,SHIVALIK MERCANTILE CO-OP BANK,6618,406.55,4793,227.23
,128,SHRI CHHATRAPATI SHAHU URBAN COOP B,13764,644.21,9364,593.00
,129,SOCIETE GENERALE,6894,4364.94,478,1571.74
,130,SOLAPUR JANATA SAHAKARI BANK LTD,11854,873.80,15409,711.64
,131,SOUTH INDIAN BANK,651550,42458.73,777373,40703.57
,132,STANDARD CHARTERED BANK,2651132,309795.03,1001143,308133.61
,133,STATE BANK OF BIKANER AND JAIPUR,4952308,62242.46,2009450,55419.87
,134,STATE BANK OF HYDERABAD,3227498,137389.06,2884075,132618.48
,135,STATE BANK OF INDIA,22088818,1514291.89,31908670,1550499.78
,136,STATE BANK OF MAURITIUS,774,887.68,640,266.64
,137,STATE BANK OF MYSORE,748479,45037.28,1291454,60650.10
,138,STATE BANK OF PATIALA,876005,83543.94,933624,79202.02
,139,STATE BANK OF TRAVANCORE,1135269,57492.77,1989156,88338.35
,140,SUMITOMO MITSUI BANKING CORPORATION,3844,8732.35,575,9447.60
,141,SURAT DISTRICT COOPERATIVE BANK Ltd,5554,473.96,13999,1041.98
,142,SURAT NATIONAL CO-OP BANK LTD,2391,205.21,3988,234.15
,143,SURAT PEOPLES COOPERATIVE BANK,12372,655.43,25003,1196.80
,144,SUTEX COOP BANK,7179,325.25,10057,527.80
,145,SYNDICATE BANK,1472840,156622.71,2849462,181592.81
,146,TAMIL NADU STATE APEX COOP BANK,206680,6266.13,75339,3781.39
,147,TAMILNADU MERCANTILE BANK,491400,33226.29,578367,30853.23
,148,TELANGANA STATE COOP APEX BANK LTD,1441,58.75,169,9.19
,149,THANE BHARAT SAHAKARI BANK LTD,5343,954.81,15503,912.38
,150,THANE DISTRICT CENTRAL COOP BANK LT,19096,1374.45,31766,1097.55
,151,THANE JANATA SAHAKARI BANK LTD,68211,4160.57,127590,5979.57
,152,THE A. P. MAHESH URBAN CO-OP BANK L,18793,1462.47,26476,1499.12
,153,THE AP STATE COOP BANK LTD,125277,6785.48,117298,5344.65
,154,THE GUJARAT STATE CO-OP BANK LTD,92133,5621.05,93327,7179.33
,155,THE HASTI CO-OP. BANK LTD.,4632,277.53,3812,300.18
,156,THE KANGRA CENTRAL COOP BANK LTD,31918,1086.11,43072,3562.13
,157,THE KANGRA CO OPERATIVE BANK LTD,3858,911.97,9742,246.02
,158,THE NASIK MERCHANTS CO-OP BANK LTD.,15795,888.60,16157,1047.87
,159,THE NAVNIRMAN COOPERATIVE BANK LTD,57,3.97,0,0.00
,160,THE PANDHARPUR URBAN CO-OP BANK,6015,248.21,2317,285.71
,161,THE RAJASTHAN ST. COOP. BANK LTD,52908,8073.08,208941,3748.10
,162,THE ROYAL BANK OF SCOTLAND N.V,2841,520.74,2733,381.85
,163,THE SAHEBRAO DESHMUKH COOP BANK LTD,4254,214.35,9967,622.68
,164,THE VARACHHA CO-OP. BANK LTD,15980,767.57,28019,760.15
,165,THE VISHWESHWAR SAHAKARI BANK LTD,11981,738.90,18102,796.54
,166,THE ZOROASTRIAN CO-OP BANK LTD,3279,164.95,4346,288.61
,167,TUMKUR GRAIN MERCHANTS COOP BANK,7154,387.91,4786,411.67
,168,The Gadchiroli Dist Co-Op Bank,9872,313.40,18561,497.30
,169,UCO BANK,712706,53443.00,2409337,81706.38
,170,UNION BANK OF INDIA,2490635,212620.03,4718861,288078.70
,171,UNITED BANK OF INDIA,1015467,45119.66,2506602,73743.88
,172,UNITED OVERSEAS BANK LTD,97,234.17,94,410.35
,173,VASAI VIKAS SAHAKARI BANK LTD,3930,225.56,10215,462.90
,174,VIJAYA BANK,626220,50470.48,1431213,74901.32
,175,WEST BENGAL STATE COOPERATIVE BANK,47785,1490.74,108842,2823.75
,176,WESTPAC BANKING CORPORATION,329,139.97,36,1829.90
,177,WOORI BANK,1482,629.27,369,1000.31
,178,YES BANK,6986551,260678.64,1334936,233182.99
,179,ZILA SAHKARI BANK LTD GHAZIABAD,7101,355.75,12331,286.52
,,TOTAL,164187826,11355075.03,164187826,11355075.03
,,Total (No. of transactions in mn and Amount in bn),164.19,11355.08,164.19,11355.08
