,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - DECEMBER 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT     (Rs. Million),NO. OF TRANSACTIONS,AMOUNT   (Rs. Million)
,86,KARUR VYSYA BANK,968772,53360.46,1226567,62228.50
,87,KOREA EXCHANGE BANK,106,197.77,366,756.03
,88,KOTAK MAHINDRA BANK LTD,4296298,311551.09,2491356,289013.99
,89,KURMANCHAL NAGAR SAHAKARI BANK,9060,662.57,9505,583.17
,90,Kerala Gramin Bank,112933,9944.98,213783,9701.11
,91,LAKSHMI VILAS BANK LTD,362278,17729.26,333449,22831.91
,92,MAHANAGAR COOP BANK LTD,14452,881.99,33786,1365.39
,93,MAHARASHTRA GRAMIN BANK,107648,4545.43,40836,1531.55
,94,MAHARASHTRA STATE CO-OP BANK LTD,3474,411.27,7887,3252.85
,95,MASHREQ BANK,378,156.16,45,3.80
,96,MEHSANA URBAN COOPERATIVE BANK LTD,16918,1748.87,23188,2462.64
,97,MIZUHO CORPORATE BANK LTD,13953,7110.00,3258,6239.12
,98,MUMBAI DISTRICT CENTRAL CO-OP. BANK,10631,1305.05,17564,1200.96
,99,MUNICIPAL COOP BANK LTD,4356,235.24,5049,736.75
,100,NAGAR URBAN COOP BANK LTD,10690,776.16,10422,726.81
,101,NAGPUR NAGRIK SAHAKARI BANK LTD,8310,535.88,10609,732.52
,102,NAINITAL BANK LTD,29928,2264.98,54511,2879.56
,103,NATIONAL AUSTRALIA BANK,3,0.00,15,0.10
,104,NATIONAL BANK OF ABU DHABI PJSC,48,27.30,2,0.00
,105,NEW INDIA CO-OP BANK,13254,719.61,27802,2210.52
,106,NKGSB BANK,37129,2198.08,63772,3143.57
,107,NUTAN NAGARIK SAHAKARI BANK LTD,8268,708.86,19115,1015.95
,108,ORIENTAL BANK OF COMMERCE,1152700,98742.34,2174865,125186.14
,109,PRATHAMA BANK,114177,13760.59,118538,2543.00
,110,PRIME CO-OP BANK LTD. SURAT,9761,655.98,8644,384.10
,111,PUNJAB AND MAHARASHTRA CO BANK,58832,2968.59,154793,4305.44
,112,PUNJAB AND SIND BANK,262830,18655.02,551137,30789.56
,113,PUNJAB NATIONAL BANK,3919809,265330.39,8863420,455454.76
,114,Pragathi Krishna Gramin Bank,129308,17011.38,163377,6725.44
,115,RABOBANK INTERNATIONAL,1670,697.52,414,3100.35
,116,RAJGURUNAGAR SAHAKARI BANK LTD,8627,431.41,12400,567.41
,117,RAJKOT NAGARIK SAHAKARI BANK LTD,8376,538.89,13315,950.56
,118,"RBI,PAD",6110346,641772.23,26946,75208.20
,119,RBL BANK LTD,405338,34352.15,209550,40341.91
,120,SAMARTH SAHAKARI BANK LTD SOLAPUR,3858,153.23,1694,95.01
,121,SARASWAT CO-OP BANK LTD.,216431,13457.83,388672,25760.15
,122,SBER BANK,119,129.61,37,65.29
,123,SEVA VIKAS COOPERATIVE BANK LTD,6948,316.78,21772,1240.24
,124,SHAMRAO VITHAL CO-OP BANK LTD,167608,9944.48,230234,12570.48
,125,SHIKSHAK SAHAKARI BANK LTD,3352,1474.86,4399,254.28
,126,SHINHAN BANK,14441,5191.15,7692,6521.24
,127,SHIVALIK MERCANTILE CO-OP BANK,6781,378.67,4129,134.66
,128,SHRI CHHATRAPATI SHAHU URBAN COOP B,10793,497.30,7970,628.26
,129,SOCIETE GENERALE,5431,4348.33,530,2094.89
,130,SOLAPUR JANATA SAHAKARI BANK LTD,10299,2500.70,14899,1488.70
,131,SOUTH INDIAN BANK,647681,42993.99,811641,43038.46
,132,STANDARD CHARTERED BANK,2818775,328920.55,1080655,280727.88
,133,STATE BANK OF BIKANER AND JAIPUR,4915624,87131.40,1903894,56257.30
,134,STATE BANK OF HYDERABAD,3539408,145807.20,2705605,147159.32
,135,STATE BANK OF INDIA,23709612,1593860.46,31888737,1617202.65
,136,STATE BANK OF MAURITIUS,772,1148.12,707,195.18
,137,STATE BANK OF MYSORE,649803,42105.71,1345935,53155.61
,138,STATE BANK OF PATIALA,955651,63894.12,951876,57361.99
,139,STATE BANK OF TRAVANCORE,1147543,54790.10,2192495,82829.35
,140,SUMITOMO MITSUI BANKING CORPORATION,4391,2798.09,618,3944.99
,141,SURAT DISTRICT COOPERATIVE BANK Ltd,5104,476.64,12328,907.94
,142,SURAT NATIONAL CO-OP BANK LTD,2192,897.23,2847,182.29
,143,SURAT PEOPLES COOPERATIVE BANK,9843,524.35,24495,1132.46
,144,SUTEX COOP BANK,5203,238.71,8377,422.50
,145,SYNDICATE BANK,1414715,128378.83,2962199,147428.11
,146,TAMIL NADU STATE APEX COOP BANK,127225,3977.41,82391,3401.37
,147,TAMILNADU MERCANTILE BANK,452712,31753.17,576230,30050.57
,148,THANE BHARAT SAHAKARI BANK LTD,5485,883.37,15087,838.25
,149,THANE DISTRICT CENTRAL COOP BANK LT,18569,1715.94,34681,936.79
