,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - AUGUST 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,87,KURMANCHAL NAGAR SAHAKARI BANK,6086,495.02,5339,441.63
,88,Kerala Gramin Bank,42548,3879.85,160363,2480.80
,89,LAKSHMI VILAS BANK LTD,155804,10938.61,189678,14432.66
,90,MAHANAGAR COOP BANK LTD,6570,638.71,19511,1174.64
,91,MAHARASHTRA STATE CO-OP BANK LTD,5322,113.21,6245,1742.17
,92,MASHREQ BANK,442,234.26,34,2.29
,93,MEHSANA URBAN COOPERATIVE BANK LTD,16888,2080.48,15130,1433.66
,94,MIZUHO CORPORATE BANK LTD,12125,5392.03,3410,7335.18
,95,MUMBAI DISTRICT CENTRAL CO-OP. BANK,8561,495.96,11628,1095.02
,96,MUNICIPAL COOP BANK LTD,810,35.21,3157,628.01
,97,NAGAR URBAN COOP BANK LTD,5295,493.27,6016,251.06
,98,NAGPUR NAGRIK SAHAKARI BANK LTD,4999,350.17,7048,560.10
,99,NAINITAL BANK LTD,17144,1266.93,33937,2682.66
,100,NATIONAL AUSTRALIA BANK,1,0.09,13,0.17
,101,NATIONAL BANK OF ABU DHABI PJSC,53,11.24,7,23.35
,102,NEW INDIA CO-OP BANK,7846,458.18,19621,825.08
,103,NKGSB BANK,20770,1496.08,42622,2701.66
,104,NUTAN NAGARIK SAHAKARI BANK LTD,5583,406.47,16861,959.12
,105,ORIENTAL BANK OF COMMERCE,666045,70431.18,1507905,97369.19
,106,PRATHAMA BANK,14385,2105.09,76627,1589.46
,107,PRIME CO-OP BANK LTD. SURAT,5216,401.26,5938,288.76
,108,PUNJAB AND MAHARASHTRA CO BANK,27688,2315.62,92166,4786.61
,109,PUNJAB AND SIND BANK,114983,11344.59,365340,17921.54
