,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
23,ORIENTAL BANK OF COMMERCE,"ROW HOUSE NO.2, AANGAN,THAKUR VILLAGE,KANDIVALI EAST,MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,19.206801,72.872474
24,ORIENTAL BANK OF COMMERCE,"PLOT 6,7-41 A 45, VICTORIA ROAD,MUSTAFA BAZAR, BYCULLA,MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,18.976116,72.84013689999999
26,ORIENTAL BANK OF COMMERCE,"SARGODHA KHALSA CO EDUCATION HIGH SCHOOL,FIELD GANJ,LUDHIANA",LUDHIANA,LUDHIANA,PUNJAB,30.907444,75.854458
27,ORIENTAL BANK OF COMMERCE,"HARJINDER NAGAR INTER COLLEGE,HARJINDER NAGAR,,KANPUR",KANPUR,KANPUR,UTTAR PRADESH,26.4157207,80.3923722
29,ORIENTAL BANK OF COMMERCE,"AMRITSAR COLLEGE OF ENGINEERING & TECHNOLOGY,,AMRITSAR JALANDHAR ROAD, NEAR MANAWALA,AMRITSAR",AMRITSAR,AMRITSAR,PUNJAB,31.5770414,74.99064589999999
31,ORIENTAL BANK OF COMMERCE,"EXTENSION COUNTER, CH DEVI LAL MEMORIAL TRUST,BARNALA ROAD, SIRSA,SIRSA",SIRSA,SIRSA,HARYANA,29.5470443,75.04249790000001
33,ORIENTAL BANK OF COMMERCE,"NAGAR PALIKA PARISHAD,MAYAPUR,HARIDWAR",HARIDWAR,HARIDWAR,UTTARAKHAND,29.9413591,78.15285480000001
34,ORIENTAL BANK OF COMMERCE,"VIDYA DEVI JINDAL SCHOOL,DELHI ROAD,HISSAR,HISSAR",HISSAR,HISSAR,HARYANA,29.1047924,75.8480198
35,ORIENTAL BANK OF COMMERCE,"BHIWANI INSTITUTE OF SCIENCE & TECHNOLOGY,VILL. SARSA GHOGRA,,BHIWANI",BHIWANI,BHIWANI,HARYANA,28.799045,76.133511
36,ORIENTAL BANK OF COMMERCE,"MAMU BHANJA CKOWK,SONEPAT,SONEPAT",SONEPAT,SONEPAT,HARYANA,28.9945026,77.0242909
38,ORIENTAL BANK OF COMMERCE,"TEHSIL SADAR,,OPP. POLICE LINES,AGRA",AGRA,AGRA,UTTAR PRADESH,27.1759319,77.9949226
39,ORIENTAL BANK OF COMMERCE,"SAINT ANTHONY'S HIGH SCHOOL,MALWANI, MALAD (WEST), MUMBAI,MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,19.1960545,72.8072535
40,ORIENTAL BANK OF COMMERCE,"UMA NATH SINGH INSTITUE OF ENG,VBS,PURVANSHAL UNIVERSITY CAMPUS, JAUNPUR,JAUNPUR",JAUNPUR,JAUNPUR,UTTAR PRADESH,25.8310621,82.681868
41,ORIENTAL BANK OF COMMERCE,"MEWAR INSTITUTE OF MANAGEMENT VASUNDHARA,,GHAZIABAD,GHAZIABAD",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.668547,77.37670100000001
42,ORIENTAL BANK OF COMMERCE,"ESTATE OFFICER II, HUDA OFFICE COMPLEX,SECTOR 56, GURGAON,GURGAON",GURGAON,GURGAON,HARYANA,28.4771416,77.0457351
43,ORIENTAL BANK OF COMMERCE,"U.P.AVAS EVAM VIKAS PARISHAD KALYANPUR,KANPUR,KALYANPUR",KALYANPUR,KALYANPUR,UTTAR PRADESH,26.4944438,80.2492311
44,ORIENTAL BANK OF COMMERCE,"M.R.VIVEKANAND MODEL SCHOOL,SEC.13, DWARKA, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6023731,77.0378035
46,ORIENTAL BANK OF COMMERCE,"LOKPRIYA NURSING  HOME,GARH ROAD, MEERUT,MEERUT",MEERUT,MEERUT,UTTAR PRADESH,28.96888,77.7305532
48,ORIENTAL BANK OF COMMERCE,"ROTARY PUBLIC SCHOOL,SECTOR 22, GURGAON,GURGAON",GURGAON,GURGAON,HARYANA,28.5022536,77.0626242
49,ORIENTAL BANK OF COMMERCE,"SRI RAM MURTI SAMAK INST. OF MED. SC.,BAREILLY,BARELLY",BARELLY,BARELLY,UTTAR PRADESH,28.693524,79.4879723
51,ORIENTAL BANK OF COMMERCE,"C-54,SEC-56,NOIDA,G.B NAGAR,,NOIDA",NOIDA,NOIDA,UTTAR PRADESH,28.5915262,77.3352494
54,ORIENTAL BANK OF COMMERCE,"128/84, Y-BLOCK, HAMIRPUR ROAD,,NAU BASTA, KANPUR,KANPUR",KANPUR,KANPUR,UTTAR PRADESH,26.4194149,80.3188595
55,ORIENTAL BANK OF COMMERCE,"AITA TRUST, RK KHANNA TENNIS STAD RK.PURAM,NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5599674,77.1885681
56,ORIENTAL BANK OF COMMERCE,"DIWAKAR MODEL SCHOOL,SHYAM PARK EXTN. SAHIBABAD,GHAZIABAD",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.680705,77.3647463
57,ORIENTAL BANK OF COMMERCE,"SHIVALIK INT. SCHOOL, 28/32 PATEL NAGAR,SAHARANPUR RD,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,30.310013,78.02291699999999
58,ORIENTAL BANK OF COMMERCE,"D. A. V. PUBLIC SCHOOL,,CONTRACTORS AREA, BISTPUR,JAMSHEDPUR",JAMSHEDPUR,JAMSHEDPUR,JHARKHAND,22.797722,86.176954
59,ORIENTAL BANK OF COMMERCE,"TAGORE SCHOOL,,MAYAPURI, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5693514,77.1617898
61,ORIENTAL BANK OF COMMERCE,"M.R.VIVEKANAND MODEL SCHOOL,,TILAK NAGAR, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6785966,77.0689201
62,ORIENTAL BANK OF COMMERCE,"MINI SECRETARIAT,,SECTOR 12 URBAN ESTATE,KARNAL",KARNAL,KARNAL,HARYANA,29.6949875,77.00345539999999
63,ORIENTAL BANK OF COMMERCE,"ROHINI SEC 3,H-32/14,,NEAR VISHRAM CHOWK,,DELHI",DELHI,DELHI,DELHI,28.7096295,77.1057213
65,ORIENTAL BANK OF COMMERCE,"N.K.BAGRODIA PUBLIC SCHOOL,DWARKA, SECTOR-4,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.602401,77.04665700000001
66,ORIENTAL BANK OF COMMERCE,"TIRUMALA TIRUPATI DEVASTHANAM TTD,TIRUMALA,TIRUPATHI",TIRUPATHI,TIRUPATHI,ANDHRA PRADESH,13.6645946,79.34860909999999
68,ORIENTAL BANK OF COMMERCE,"D.A.V. PUBLIC SCHOOL KAILASH HILLS,NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5584868,77.2591022
69,ORIENTAL BANK OF COMMERCE,"RAMA DEVI BALIKA INTER COLLEGE,497,MEERAPUR,ALLAHABAD,ALLAHABAD",ALLAHABAD,ALLAHABAD,UTTAR PRADESH,25.4292693,81.828755
70,ORIENTAL BANK OF COMMERCE,"DEEN DAYAL UPADHYA COLLEGE,KARAMPURA, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6051249,77.0379956
71,ORIENTAL BANK OF COMMERCE,"MODERN SCHOOL,VASANT VIHAR , NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5612888,77.1572731
72,ORIENTAL BANK OF COMMERCE,"DORANDA COLLEGE,,RANCHI,RANCHI",RANCHI,RANCHI,JHARKHAND,23.3372989,85.318084
74,ORIENTAL BANK OF COMMERCE,"JYOTI PUBLIC HIGH SCHOOL,,781/A, GANDHI NAGAR,JAMMU",JAMMU,JAMMU,JAMMU AND KASHMIR,32.6958817,74.85621569999999
77,ORIENTAL BANK OF COMMERCE,"I.T.B.P.,BUKHARA ROAD, BAREILLY,BARELLY",BARELLY,BARELLY,UTTAR PRADESH,28.2989726,79.3992854
78,ORIENTAL BANK OF COMMERCE,"HANUMAN PRASAD RASTOGI,GIRLS INTER COLLEGE, SUBHASH MARG,,LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH,26.8764404,80.89867939999999
80,ORIENTAL BANK OF COMMERCE,"MANN PUBLIC SCHOOL,HOLAMBI KHURD, NEW DELHI,DELHI",DELHI,DELHI,DELHI,28.7937606,77.0946555
81,ORIENTAL BANK OF COMMERCE,"A-160,,NEHRU COLONY,,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,30.2991538,78.0543453
82,ORIENTAL BANK OF COMMERCE,"SETH JAIPRAKASH MUKUND LAL  INST. OF ENGG.,RADAUR,RADAUR",RADAUR,RADAUR,HARYANA,30.036451,77.16063
83,ORIENTAL BANK OF COMMERCE,"ALL SAINTS SCHOOL,,IDGAH HILLS, BHOPAL,BHOPAL",BHOPAL,BHOPAL,MADHYA PRADESH,23.2656862,77.38834709999999
84,ORIENTAL BANK OF COMMERCE,"SAI PARISAR, SHRIKANT VERMA MARG,,VYAPAR VIHAR, BILASPUR (CHHISTGARH),BILASPUR - CG",BILASPUR - CG,BILASPUR - CG,CHANDIGARH,22.0689131,82.1493878
86,ORIENTAL BANK OF COMMERCE,"JUPITER CONVENT HIGH SCHOOL,SAVARKAR NAGAR, KHEMLA RD, NAGPUR,NAGPUR",NAGPUR,NAGPUR,MAHARASHTRA,21.1126256,79.06629439999999
87,ORIENTAL BANK OF COMMERCE,"M.M. COLLEGE OF DENTAL SERVICE & RESEAR.,MULANA COMPLEX, MULANA,AMBALA",AMBALA,AMBALA,HARYANA,30.2512397,77.0456434
89,ORIENTAL BANK OF COMMERCE,"SRI GOPAL SHARMA MEM. SCHOOL,POWAI VIHAR CPLX,AADI SHANKRACHARYA MARG POWAI,MUMBAI,MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,19.1165015,72.9031777
90,ORIENTAL BANK OF COMMERCE,"J-364,ASHIYANA,LUCKNOW-226012,LUCKNOW",LUCKNOW,LUCKNOW,UTTAR PRADESH,26.7773943,80.91183769999999
91,ORIENTAL BANK OF COMMERCE,"HUDA OFFICE, SECTOR 1,URBAN ESTATE, HUDA, ROHTAK,ROHTAK",ROHTAK,ROHTAK,HARYANA,28.896471,76.633021
94,ORIENTAL BANK OF COMMERCE,"HOLY CHILD PUBLIC SCHOOL,REWARI,GURGAON",GURGAON,GURGAON,HARYANA,28.1994794,76.62565719999999
95,ORIENTAL BANK OF COMMERCE,"U 25 ROAD, PINK TOWN, HOUSE , DLF PHASE III, GURGAON, PIN 122002",GURGAON,GURGAON,HARYANA,28.4947644,77.098534
96,ORIENTAL BANK OF COMMERCE,"INSTITUTE OF MANAGEMENT STUDIES,21 NEW CANTT.RD, DEHRADUN,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,30.3995469,78.0779407
97,ORIENTAL BANK OF COMMERCE,"CHRINJIV BHARTI SCHOOL,C BLOCK SUSHANT LOK,GURGAON",GURGAON,GURGAON,HARYANA,28.4553115,77.0808447
100,ORIENTAL BANK OF COMMERCE,"16-2-146/A/1,G-5, RAGHVENDRA CLASSIC APARTMEN,JUDGES COLONY, MALAKPET,HYDERABAD",HYDERABAD,HYDERABAD,ANDHRA PRADESH,17.3716881,78.5000732
102,ORIENTAL BANK OF COMMERCE,"HUDA COMPLEX,S.C.O-63,SEC. 8, PANCHKULA,PANCHKULA, HARYANA","PANCHKULA, HARYANA","PANCHKULA, HARYANA",HARYANA,30.67798389999999,76.8537358
103,ORIENTAL BANK OF COMMERCE,"SRI GURU NANAK GIRLS HR. SECONDARY SCHOOL,PREM NAGAR,JABALPUR",JABALPUR,JABALPUR,MADHYA PRADESH,23.1673265,79.9351849
105,ORIENTAL BANK OF COMMERCE,"SHRI GURU HAR KISHAN PUBLIC SCHOOL,GOLDEN AVENUE,AMRITSAR",AMRITSAR,AMRITSAR,PUNJAB,31.62972599999999,74.890551
106,ORIENTAL BANK OF COMMERCE,"MAHARAJA AGRASAIN HOSPITAL CHARIT. TRUST.,PUNJABI BAGH, NEW DELHI-110026,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6917647,77.1646348
107,ORIENTAL BANK OF COMMERCE,"INNOCENT HEART SCHOOL,,GREEN MODEL TOWN, JALANDHAR,JALANDHAR",JALANDHAR,JALANDHAR,PUNJAB,31.2881634,75.57651489999999
108,ORIENTAL BANK OF COMMERCE,"SHRI SUMER SR. SEC.HIGHER SCHOOL,,MAHAMANDIR, MANDAOR ROAD, JODHPUR,JODHPUR",JODHPUR,JODHPUR,RAJASTHAN,26.3072166,73.0377649
109,ORIENTAL BANK OF COMMERCE,"HAPPY HOURS SCHOOL,AJIT COLONY,NEAR CIRCUIT,HOUSE, JODHPUR,JODHPUR",JODHPUR,JODHPUR,RAJASTHAN,26.28407,73.03693779999999
110,ORIENTAL BANK OF COMMERCE,"ZILA PARISHAD COLLECTORATE,JODHPUR,JODHPUR",JODHPUR,JODHPUR,RAJASTHAN,26.2937986,73.0381199
111,ORIENTAL BANK OF COMMERCE,"KIRORI MAL COLLEGE,,UNIVERSITY ENCLAVE, NEW DELHI,DELHI",DELHI,DELHI,DELHI,28.683447,77.20701799999999
112,ORIENTAL BANK OF COMMERCE,"ARYAN PUBLIC SCHOOL VAISHALI,GHAZIABAD,GHAZIABAD",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.6452398,77.34216409999999
113,ORIENTAL BANK OF COMMERCE,"CRZ  SR. SEC. SCHOOL,SONEPAT,SONEPAT",SONEPAT,SONEPAT,HARYANA,28.9863,77.00739999999999
114,ORIENTAL BANK OF COMMERCE,"THE ASIAN SCHOOL,INDIRA NAGAR COLONY,VASANT VIHAR, DEHRADUN,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,30.3226412,78.0052538
115,ORIENTAL BANK OF COMMERCE,"INSTITUTE OF MANAGEMENT STUDIES,LALA KUAN GHAZIABAD,GHAZIABAD",GHAZIABAD,GHAZIABAD,UTTAR PRADESH,28.6378673,77.45975
116,ORIENTAL BANK OF COMMERCE,"HIMACHAL DENTAL COLLEGE,,SUNDERNAGAR,SUNDERNAGAR",SUNDERNAGAR,SUNDERNAGAR,HIMACHAL PRADESH,31.5251472,76.8883562
117,ORIENTAL BANK OF COMMERCE,"ABINAV COMPLEX, BEHIND ARPAN COMPLEX,,DELUX CHAR RASTA, NIZAMPURA, VADODARA,VADODRA (BARODA - INDIA)",VADODRA (BARODA - INDIA),VADODRA (BARODA - INDIA),GUJARAT,22.3337123,73.1813961
118,ORIENTAL BANK OF COMMERCE,"GWALIOR MANSIK AROGYA SHALA,,JAIL RD., GWALIOR,GWALIOR",GWALIOR,GWALIOR,MADHYA PRADESH,26.2144789,78.156594
119,ORIENTAL BANK OF COMMERCE,"JANKI DEVI PUBLIC SCHOOL,SVP NAGAR, MHADA, ANDHERI (W),MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,19.139612,72.8239609
120,ORIENTAL BANK OF COMMERCE,"KRISHI UPAJ MANDI SAMITI,ANANTPURA, KOTA,KOTA",KOTA,KOTA,RAJASTHAN,25.1227572,75.8744549
122,ORIENTAL BANK OF COMMERCE,"B.K.TOWER,B-XXI 2480/1, NR GREWAL HOSPITAL,GILL ROAD,,LUDHIANA",LUDHIANA,LUDHIANA,PUNJAB,30.878628,75.8589049
123,ORIENTAL BANK OF COMMERCE,"D.A.V. PUBLIC SCHOOL,,RBI ENCLAVE, PASHIM VIHAR, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6658953,77.09424670000001
125,ORIENTAL BANK OF COMMERCE,"GAJNER ROAD,BANGLANAGAR,,THANA NAYA SAHAR,BIKANER",BIKANER,BIKANER,RAJASTHAN,28.0182274,73.2919233
126,ORIENTAL BANK OF COMMERCE,"SCO-264, SECTOR - 44 -C,CHANDIGARH,CHANDIGARH",CHANDIGARH,CHANDIGARH,CHANDIGARH,30.7127179,76.75240869999999
127,ORIENTAL BANK OF COMMERCE,"SECTOR 70, S.C.O. 525,MOHALI,MOHALI",MOHALI,MOHALI,PUNJAB,30.6972007,76.7208941
128,ORIENTAL BANK OF COMMERCE,"GOVT. COLLEGE,MOHALI,MOHALI",MOHALI,MOHALI,PUNJAB,30.7387929,76.7112848
129,ORIENTAL BANK OF COMMERCE,RAJASTHAN KHADI AND VILLAGE INDUSTRIES BOARD J.L.N.MARG,JAIPUR,JAIPUR,RAJASTHAN,26.8743209,75.8093528
130,ORIENTAL BANK OF COMMERCE,"NEW DAYANAND MED. COLLEGE & HOSPITAL,,TAGORE NAGAR, LUDHIANA,LUDHIANA",LUDHIANA,LUDHIANA,PUNJAB,30.91438029999999,75.8225379
131,ORIENTAL BANK OF COMMERCE,"A P J SCHOOL,,BHAGWAN MAHAVEER MARG,JALANDHAR",JALANDHAR,JALANDHAR,PUNJAB,31.3151711,75.58240769999999
132,ORIENTAL BANK OF COMMERCE,"SHOP NO.-5 & 6,PLOT-51,UGAM COMPLEX,,SECTOR-40,SEAWOOD,NAVI MUMBAI,NAVI MUMBAI",NAVI MUMBAI,NAVI MUMBAI,MAHARASHTRA,19.0196265,73.0162008
134,ORIENTAL BANK OF COMMERCE,"AMITY UNIVERSITY,SEC-125,G B NAGAR",GAUTAM BUDDHA NAGAR,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,28.5441968,77.3333768
135,ORIENTAL BANK OF COMMERCE,"BJS DENTAL COLLEGE & RES. CENTRE,SECTOR-40, URBAN ESTATE,LUDHIANA",LUDHIANA,LUDHIANA,PUNJAB,30.8966451,75.8951483
136,ORIENTAL BANK OF COMMERCE,"SCO NO 21, SECTOR 33-D,,CHANDIGARH,CHANDIGARH",CHANDIGARH,CHANDIGARH,CHANDIGARH,30.7133982,76.76883959999999
137,ORIENTAL BANK OF COMMERCE,"PARAMUKH SWAMI MED. COLLEGE,,KARAMSAD,ANAND",ANAND,ANAND,GUJARAT,22.5396068,72.8906382
138,ORIENTAL BANK OF COMMERCE,"ST. ANDREWS SCOTS SR. SEC. SCHOOL, ,,9TH AVENUE PATPATGANJ,DELHI",DELHI,DELHI,DELHI,28.6365313,77.29910339999999
140,ORIENTAL BANK OF COMMERCE,"ANNANDALAYA EDUCATION SOCIETY,NDDB CAMPUS,ANAND",ANAND,ANAND,GUJARAT,22.5415244,72.9679503
141,ORIENTAL BANK OF COMMERCE,"INDRAPRASTHA APOLLO HOSPITAL,,SARITA VIHAR, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5409246,77.2834563
142,ORIENTAL BANK OF COMMERCE,"SCO 6,SEC. 41 D,CHANDIGARH",CHANDIGARH,CHANDIGARH,CHANDIGARH,30.7309791,76.7379808
143,ORIENTAL BANK OF COMMERCE,"N.K. BAGRODIA PUB. SCHOOL,SECTOR 9, ROHINI DELHI-110 085,DELHI",DELHI,DELHI,DELHI,28.712458,77.1246065
144,ORIENTAL BANK OF COMMERCE,"EC PUNJABI BAGH,NEW DELHI,,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6278071,77.14582
145,ORIENTAL BANK OF COMMERCE,"SANT NIRANKARI PUBLIC SR. SEC. SCHOOL, DELHI,NEW DELHI,DELHI",DELHI,DELHI,DELHI,28.6477114,77.2077865
146,ORIENTAL BANK OF COMMERCE,"DARBARI LAL D.A.V. MODEL SR. SEC. SCHOOL,,PITAMPURA, NEW DELHI,DELHI",DELHI,DELHI,DELHI,28.6990001,77.1439889
147,ORIENTAL BANK OF COMMERCE,"PRABHHU DAYAL PUBLIC SCHOOL,,SHALIMAR BAGH, NEW DELHI,DELHI",DELHI,DELHI,DELHI,28.7069767,77.164615
148,ORIENTAL BANK OF COMMERCE,"D.A.V. PUBLIC SR. SEC. SCHOOL,VIKASPURI, NEW DELHI,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.6384922,77.0619761
150,ORIENTAL BANK OF COMMERCE,"1/1 TILAK NAGAR,  INDORE-452016",INDORE,INDORE,MADHYA PRADESH,22.7189594,75.897201
167,ORIENTAL BANK OF COMMERCE,"D.NO 6-2-1231/1 VT COLONY, HYDERABAD ROAD, NALGONDA, DIST-NALGONDA, TELENGANA-508001",NALGONDA,NALGONDA,TELANGANA,17.0575707,79.2620295
168,ORIENTAL BANK OF COMMERCE,"PLOT NO-43, GURUNANAK COLONY, VIJAYWADA, DIST-KRISHNA, PIN-520008",VIJAYAWADA,KRISHNA,ANDHRA PRADESH,16.503421,80.665925
171,ORIENTAL BANK OF COMMERCE,PLOT NO. 6 VIDYANAGAR COLONY,JADCHERLA,MAHBUBNAGAR,TELANGANA,17.5115079,78.38355709999999
179,ORIENTAL BANK OF COMMERCE,"122/11 J L NEHRU ROAD, TEHSIL-SADAR TAGORE TOWN ALLAHABAD",ALLAHABAD,ALLAHABAD,UTTAR PRADESH,25.4672743,81.8509337
181,ORIENTAL BANK OF COMMERCE,"A-1/2, CHERYL, DOWN TOWN, PUNE - 411014",PUNE,PUNE,MAHARASHTRA,18.559907,73.9454277
184,ORIENTAL BANK OF COMMERCE,"A-15, SEC - 2A, BIDHAN, BIDHANNAGAR, DURGAPUR",DURGAPUR,BARDDHAMAN,WEST BENGAL,23.517186,87.3435669
187,ORIENTAL BANK OF COMMERCE,"DOOR NO 36/16 CL, MEYYANUR ROAD, DISTT SALEM - 63",SALEM,SALEM,TAMIL NADU,11.666122,78.12988399999999
188,ORIENTAL BANK OF COMMERCE,"PLOT NO 45, DOOR NO 22, WEST TAMBARAM, KANCHIPURAM",KANCHIPURAM,KANCHEEPURAM,TAMIL NADU,12.928234,80.11634699999999
189,ORIENTAL BANK OF COMMERCE,"PLOT 14, RAJAJI NAGAR, RAYAKOTTAI ROAD",KRISHNAGIRI,KRISHNAGIRI,TAMIL NADU,12.522408,78.1913161
190,ORIENTAL BANK OF COMMERCE,"44, TRIVANDRUM ROAD, PALAYMKOTTAI",TIRUNELVELI,TIRUNELVALI,TAMIL NADU,8.7241103,77.7317608
199,ORIENTAL BANK OF COMMERCE,"119/1077 BLOCK D, DARSHANPURWA, GUMTI NO 5, KANPUR, UP",KANPUR,KANPUR CITY,UTTAR PRADESH,26.4685321,80.3150797
200,ORIENTAL BANK OF COMMERCE,"D NO 1-4-129/8, CENTRAL PARK LANE, KOMPALLY, RANGAREDDY TELANGANA",RANGAREDDY,RANGAREDDY,TELANGANA,17.5439491,78.4892082
