,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
0,ORIENTAL BANK OF COMMERCE,"2NDFLR PLOTNO.5 SEC-32,GURGAON,GURGAON",GURGAON,GURGAON,HARYANA,28.442842,77.0396449
1,ORIENTAL BANK OF COMMERCE,"TIRUMALA CHAMBERS, 1-8-303,,S P ROAD,SECUNDERABAD",SECUNDERABAD,SECUNDERABAD,ANDHRA PRADESH,17.4428119,78.4803003
2,ORIENTAL BANK OF COMMERCE,"AMAN CHAMBER,OPP. NEW PASSPORT OFFICE,VEER SAVARKAR MARG,PRABHADEVI,MUMBAI 400025",MUMBAI,MUMBAI,MAHARASHTRA,19.0139,72.825577
3,ORIENTAL BANK OF COMMERCE,"5TH FLOOR, PADMA TOWER-I,RAJENDER PLACE,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.645204,77.178011
4,ORIENTAL BANK OF COMMERCE,"DR A N  K DAV PUBLIC SCHOOL RING,ROAD ,NEAR BASANTI COLONY,ROURKELA",ROURKELA,ROURKELA,ODISHA,22.2344042,84.8322465
5,ORIENTAL BANK OF COMMERCE,"JEEVA PUBLIC SCHOOL, SECTOR 21B,FARIDABAD,FARIDABAD",FARIDABAD,FARIDABAD,HARYANA,28.4147953,77.29672149999999
6,ORIENTAL BANK OF COMMERCE,"UIT, SECTOR 1,BHIWADI (DIST ALWAR),BHIWADI",BHIWADI,BHIWADI,RAJASTHAN,28.2049411,76.8272009
7,ORIENTAL BANK OF COMMERCE,"GOVT COLLEGE HISSAR,,HISSAR",HISSAR,HISSAR,HARYANA,29.1463707,75.7164646
8,ORIENTAL BANK OF COMMERCE,"ORIENTAL INST. OF SCIENCE AND TECH,THAKRAL,NAGAR, RAISEN RD,BHOPAL",BHOPAL,BHOPAL,MADHYA PRADESH,23.2462723,77.501711
9,ORIENTAL BANK OF COMMERCE,"SPRING DALES ACADEMY,,8,MIGH SANTOSH NAGAR,HYDERABAD",HYDERABAD,HYDERABAD,ANDHRA PRADESH,17.345862,78.507908
11,ORIENTAL BANK OF COMMERCE,"SHANTA MANGESH APPT, BLDG-A, HINDU FRNDS SOCIETY RD, JOGSHWARI (EAST), MUMBAI",MUMBAI,MUMBAI,MAHARASHTRA,19.131672,72.8494478
12,ORIENTAL BANK OF COMMERCE,"B7/7/1, GROUND FLOOR, SHASHWAT HOSPITAL,,KOTHI POLE, RAOPURA,VADODRA (BARODA - INDIA)",VADODRA (BARODA - INDIA),VADODRA (BARODA - INDIA),GUJARAT,22.30362,73.2027849
13,ORIENTAL BANK OF COMMERCE,"NO 1&2, BALAIAH GARDEN, VELACHERY MAIN ROAD,MADIPAKKAM, CHENNAI,CHENNAI",CHENNAI,CHENNAI,TAMIL NADU,12.983106,80.210182
14,ORIENTAL BANK OF COMMERCE,"VI/150, IPSTA BUILDING, JEW TOWN,MATTANCHERRY,,KOCHI",KOCHI,KOCHI,KERALA,9.9564528,76.26010200000002
18,ORIENTAL BANK OF COMMERCE,"5-3-924, 925, 926,MOZAMJAHI MARKET,HYDERABAD",HYDERABAD,HYDERABAD,ANDHRA PRADESH,17.3838928,78.4750806
20,ORIENTAL BANK OF COMMERCE,"2-1-569/1-4,HINDI MAHAVIDYALAYA CAMPUS,,UNIV ROAD, NALLAKUNTA,VIDYANAGAR,HYDERABAD",HYDERABAD,HYDERABAD,ANDHRA PRADESH,17.4017745,78.50954279999999
21,ORIENTAL BANK OF COMMERCE,"TAGORE INTERNATIONAL SCHOOL,C BLOCK PASCHIMI MARG, VASANT VIHAR,NEW DELHI",NEW DELHI,NEW DELHI,DELHI,28.5693514,77.1617898
22,ORIENTAL BANK OF COMMERCE,"69 AROKIASAMY ROAD WEST,R S PURAM,COIMBATORE",COIMBATORE,COIMBATORE,TAMIL NADU,11.0058902,76.9469958
