,BANK,ADDRESS,CITY,DISTRICT,STATE,lat,lon
3,STATE BANK OF INDIA,"S.J.PALACE, GOPALNAGAR, DHEBARBHAI ROAD,RAJKOT-360002",RAJKOT,RAJKOT,GUJARAT,22.273096,70.800375
4,STATE BANK OF INDIA,"HEAD OFFICE, MOHADDIPUR, GORAKHPUR",GORAKHPUR,GORAKHPUR,UTTAR PRADESH,26.7494954,83.3987081
5,STATE BANK OF INDIA,"OPP. WAR CEMETERY,KOHIMA TOWN, P.O. KOHIMA. PIN 797 001",KOHIMA,KOHIMA,NAGALAND,25.6677106,94.1029336
6,STATE BANK OF INDIA,"MIZORAM RURAL BANK, HEAD OFFICE  B 5, BABU TILLA, ZARKAWT, P.B.NO.160, AIZAWL796007, MIZORAM",ZARKAWT,AIZAWL,MIZORAM,23.7339508,92.71496049999999
7,STATE BANK OF INDIA,"HEAD OFFICE, M.T.C BUILDING, 2ND FLOOR, POLICE BAZAR, SHILLONG793001",SHILLONG,EAST KHASI HILLS,MEGHALAYA,25.5771886,91.8836108
10,STATE BANK OF INDIA,"SIR SYED MARKET, WAZIR BAGH  SRINAGAR  KASHMIR, PIN CODE 190008",SRINAGAR,SRINAGAR,JAMMU AND KASHMIR,34.0629839,74.80915329999999
13,STATE BANK OF INDIA,"ASHOKA COMPLEX,HANUMAKONDA,WARANGAL DIST,ANDRA PRADESH,PIN 506001",HANUMAKONDA,WARANGAL,ANDHRA PRADESH,18.0056228,79.5572463
14,STATE BANK OF INDIA,SBI GLOBAL IT CENTRE;CBD BELAPUR;NAVI MUMBAI 400614;MAHARASHTRA,NAVI MUMBAI,THANE,MAHARASHTRA,19.0188848,73.04211269999999
15,STATE BANK OF INDIA,"PAYMENT SYSTEMS GROUP,STATE BANK GITC,CBD BELAPUR,NAVI MUMBAI",MUMBAI,RAIGAD,MAHARASHTRA,19.0188848,73.04211269999999
18,STATE BANK OF INDIA,"HOUSINGBOARDBUILDING,SANTHINAGAR,THIRUVANANTHAPURAM,DISTRICT,KERALA",THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,KERALA,8.4939318,76.95174829999999
